contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130C00415000,2025-12-22 15:19:13+00:00,415.0,271.88,272.24,275.63,0.0,0.0,,2,0.9633792724609375,True,REGULAR,USD
SPY260130C00420000,2025-12-18 14:52:08+00:00,420.0,257.27,267.21,270.45,0.0,0.0,1.0,2,0.9360357958984374,True,REGULAR,USD
SPY260130C00425000,2025-12-24 14:53:41+00:00,425.0,265.47,262.24,265.67,0.0,0.0,,1,0.9254157849121094,True,REGULAR,USD
SPY260130C00435000,2025-10-10 19:12:24+00:00,435.0,227.0,239.15,242.05,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260130C00450000,2025-12-26 16:58:50+00:00,450.0,242.04,237.35,240.77,0.0,0.0,2.0,50,0.8370377624511718,True,REGULAR,USD
SPY260130C00455000,2025-11-14 21:13:39+00:00,455.0,220.98,232.39,235.74,0.0,0.0,2.0,0,0.8187273986816406,True,REGULAR,USD
SPY260130C00460000,2025-11-14 21:13:38+00:00,460.0,216.07,227.37,230.77,0.0,0.0,2.0,79,0.8006611730957032,True,REGULAR,USD
SPY260130C00465000,2025-12-05 18:13:44+00:00,465.0,223.11,222.44,225.66,0.0,0.0,2.0,2,0.7812521875,True,REGULAR,USD
SPY260130C00470000,2025-12-18 20:44:37+00:00,470.0,209.03,217.47,220.73,0.0,0.0,1.0,36,0.7661156201171876,True,REGULAR,USD
SPY260130C00475000,2025-12-18 20:49:17+00:00,475.0,204.09,212.45,215.71,0.0,0.0,2.0,3,0.747072841796875,True,REGULAR,USD
SPY260130C00480000,2025-12-29 16:23:19+00:00,480.0,209.08,207.55,210.74,-2.8300018,-1.3354734,10.0,27,0.7327907580566406,True,REGULAR,USD
SPY260130C00485000,2025-11-14 17:51:08+00:00,485.0,192.77,202.5,205.77,0.0,0.0,2.0,1,0.7146024633789063,True,REGULAR,USD
SPY260130C00490000,2025-11-14 18:29:15+00:00,490.0,187.15,197.56,200.99,0.0,0.0,2.0,14,0.7043486596679689,True,REGULAR,USD
SPY260130C00495000,2025-12-15 15:52:30+00:00,495.0,188.33,192.55,195.82,0.0,0.0,21.0,18,0.6821320849609377,True,REGULAR,USD
SPY260130C00500000,2025-12-29 16:24:33+00:00,500.0,189.35,187.61,190.85,-1.6299896,-0.8534871,10.0,460,0.6671175866699222,True,REGULAR,USD
SPY260130C00505000,2025-11-20 14:32:06+00:00,505.0,173.0,182.61,185.88,0.0,0.0,50.0,131,0.6505772247314454,True,REGULAR,USD
SPY260130C00510000,2025-12-18 20:47:43+00:00,510.0,169.59,177.71,180.91,0.0,0.0,3.0,30,0.6364782446289063,True,REGULAR,USD
SPY260130C00515000,2025-12-11 19:43:30+00:00,515.0,174.25,172.74,176.07,-1.5700073,-0.8929628,1.0,5,0.6237830590820312,True,REGULAR,USD
