contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130P00415000,2025-12-29 16:40:51+00:00,415.0,0.05,0.05,0.06,0.010000002,25.000004,295.0,5945,0.5820354296875,False,REGULAR,USD
SPY260130P00420000,2025-12-29 14:41:55+00:00,420.0,0.06,0.05,0.06,0.0,0.0,3.0,2382,0.56836369140625,False,REGULAR,USD
SPY260130P00425000,2025-12-29 14:49:52+00:00,425.0,0.05,0.05,0.06,0.0,0.0,4.0,1175,0.5566450585937501,False,REGULAR,USD
SPY260130P00430000,2025-12-26 20:24:21+00:00,430.0,0.06,0.05,0.06,0.0,0.0,2.0,804,0.5429733203125001,False,REGULAR,USD
SPY260130P00435000,2025-12-26 19:23:08+00:00,435.0,0.06,0.06,0.07,0.0,0.0,112.0,1078,0.5390671093750001,False,REGULAR,USD
SPY260130P00440000,2025-12-26 16:33:24+00:00,440.0,0.07,0.06,0.07,0.0,0.0,3.0,1587,0.5273484765625001,False,REGULAR,USD
SPY260130P00445000,2025-12-26 14:34:41+00:00,445.0,0.08,0.07,0.08,0.0,0.0,1.0,953,0.5214891601562499,False,REGULAR,USD
SPY260130P00450000,2025-12-29 16:12:38+00:00,450.0,0.07,0.07,0.08,-0.009999998,-12.499997,35.0,8582,0.5097705273437501,False,REGULAR,USD
SPY260130P00455000,2025-12-26 15:48:48+00:00,455.0,0.08,0.07,0.08,0.0,0.0,1.0,821,0.500005,False,REGULAR,USD
SPY260130P00460000,2025-12-23 16:54:30+00:00,460.0,0.12,0.08,0.09,0.0,0.0,60.0,494,0.49414568359375005,False,REGULAR,USD
SPY260130P00465000,2025-12-23 16:55:22+00:00,465.0,0.13,0.09,0.1,0.0,0.0,198.0,435,0.48730981445312505,False,REGULAR,USD
SPY260130P00470000,2025-12-29 14:30:00+00:00,470.0,0.1,0.09,0.1,-0.009999998,-9.090907,12.0,1288,0.47461462890625,False,REGULAR,USD
SPY260130P00475000,2025-12-29 14:32:44+00:00,475.0,0.1,0.1,0.11,-0.009999998,-9.090907,30.0,795,0.4672904833984375,False,REGULAR,USD
SPY260130P00480000,2025-12-26 20:03:45+00:00,480.0,0.11,0.1,0.11,0.0,0.0,119.0,1423,0.45508357421875,False,REGULAR,USD
SPY260130P00485000,2025-12-24 17:30:16+00:00,485.0,0.14,0.11,0.12,0.0,0.0,105.0,75312,0.44727115234375,False,REGULAR,USD
SPY260130P00490000,2025-12-26 19:09:40+00:00,490.0,0.13,0.12,0.13,0.0,0.0,105.0,640,0.43945873046875,False,REGULAR,USD
SPY260130P00495000,2025-12-29 16:56:17+00:00,495.0,0.13,0.12,0.13,-0.010000005,-7.1428604,1.0,961,0.42676354492187507,False,REGULAR,USD
SPY260130P00500000,2025-12-29 16:25:42+00:00,500.0,0.14,0.13,0.14,0.0,0.0,287.0,1440,0.418951123046875,False,REGULAR,USD
SPY260130P00505000,2025-12-26 17:02:04+00:00,505.0,0.16,0.14,0.15,0.0,0.0,3.0,854,0.4101621484375,False,REGULAR,USD
SPY260130P00510000,2025-12-29 15:49:53+00:00,510.0,0.17,0.16,0.17,-0.030000001,-15.0,1.0,527,0.40381455566406255,False,REGULAR,USD
SPY260130P00515000,2025-12-26 15:44:08+00:00,515.0,0.16,0.16,0.17,-0.030000001,-15.789474,417.0,1078,0.3920959228515625,False,REGULAR,USD
SPY260130P00520000,2025-12-26 17:46:21+00:00,520.0,0.2,0.17,0.18,0.0,0.0,31.0,752,0.38281867187499996,False,REGULAR,USD
SPY260130P00525000,2025-12-29 14:44:09+00:00,525.0,0.2,0.18,0.19,0.0,0.0,3.0,846,0.37354142089843745,False,REGULAR,USD
SPY260130P00530000,2025-12-29 14:32:16+00:00,530.0,0.22,0.2,0.21,0.010000005,4.761907,2.0,19109,0.366217275390625,False,REGULAR,USD
SPY260130P00535000,2025-12-29 14:40:21+00:00,535.0,0.23,0.21,0.22,-0.00999999,-4.1666627,17.0,150705,0.35645174804687496,False,REGULAR,USD
SPY260130P00540000,2025-12-29 16:40:30+00:00,540.0,0.24,0.23,0.24,-0.010000005,-4.000002,4.0,1449,0.3481510498046875,False,REGULAR,USD
SPY260130P00545000,2025-12-29 16:33:19+00:00,545.0,0.25,0.24,0.25,-0.030000001,-10.714286,18.0,18347,0.33838552246093745,False,REGULAR,USD
SPY260130P00550000,2025-12-29 16:28:42+00:00,550.0,0.28,0.26,0.27,0.00999999,3.7037,30.0,2022,0.3298406860351562,False,REGULAR,USD
SPY260130P00555000,2025-12-26 19:42:55+00:00,555.0,0.31,0.28,0.29,0.0,0.0,4.0,448,0.3210517114257812,False,REGULAR,USD
SPY260130P00560000,2025-12-29 16:38:17+00:00,560.0,0.31,0.3,0.31,0.0,0.0,27.0,5752,0.31201859863281245,False,REGULAR,USD
SPY260130P00565000,2025-12-26 18:01:07+00:00,565.0,0.37,0.33,0.34,0.0,0.0,7.0,763,0.3039620385742187,False,REGULAR,USD
SPY260130P00570000,2025-12-29 15:23:16+00:00,570.0,0.38,0.35,0.36,-0.02000001,-5.0000024,32.0,690,0.29444064941406245,False,REGULAR,USD
SPY260130P00572000,2025-12-29 15:24:00+00:00,572.0,0.38,0.37,0.38,-0.06999999,-15.555553,1.0,486,0.2919992675781249,False,REGULAR,USD
SPY260130P00573000,2025-12-26 20:34:10+00:00,573.0,0.39,0.37,0.38,0.00999999,2.6315765,1.0,557,0.28955788574218744,False,REGULAR,USD
SPY260130P00574000,2025-12-19 18:37:18+00:00,574.0,0.8,0.38,0.39,0.0,0.0,75.0,240,0.28833719482421866,False,REGULAR,USD
SPY260130P00575000,2025-12-26 19:11:43+00:00,575.0,0.42,0.38,0.39,0.0,0.0,1.0,3261,0.2858958129882812,False,REGULAR,USD
SPY260130P00576000,2025-12-29 16:23:47+00:00,576.0,0.4,0.39,0.4,0.01000002,2.564108,4.0,808,0.2846751220703124,False,REGULAR,USD
